anchor,winner,loser
sticker,cilantro,whiteboard
fishnet stockings,revolver,fingerprint
sunglasses,inkwell,first-aid kit
barrel,stethoscope,backscratcher
water cooler,knee,ice-cream cone
clove,jet,mistletoe
lasagna,nacho,tennis ball
gargoyle,doorhandle,thread
bathmat,gramophone,chessboard
oatmeal,powder,wagon
notebook,paper bag,golf cart
workbench,sewing machine,eagle
chainsaw,milk,pulley
chipmunk,gargoyle,mail
paintbrush,tweezers,catfish
trumpet,trowel,artichoke
cereal,powder,tennis ball
reindeer,wasp,incense
chili,pickle,ski lift
doorhandle,boar,bedpan
bush,chive,test tube
velcro,sofa bed,tuba
ladybug,gun,possum
loom,wand,chick
scarf,shell,wig
flask,gramophone,crayon
strap,rooster,doormat
printer,poinsettia,typewriter
traffic light,smoke alarm,cockroach
toga,cilantro,boa
pony,seal,diaper
gopher,dress,eagle
fish,beaker,alpaca
suspenders,backpack,hedgehog
stomach,knob,ankle
barcode,mold,cardinal
swordfish,hippopotamus,shell
dumpster,hawk,gearshift
lectern,broom,whale
corkscrew,lock,chick
paper bag,hairnet,boar
strap,watermelon,t-shirt
penholder,knee,bonsai
icicle,cloud,basketball
aluminum foil,lion,tarp
quilt,beaver,pincushion
money,penholder,boar
guitar,gong,rhinoceros
slot machine,dolphin,robot
undershirt,brooch,charcoal
spareribs,pretzel,knee
gold,hail,knee
leopard,mustache,snowplow
yo-yo,globe,cornbread
sunroof,telephone pole,raspberry
top hat,chinaware,peach
bacon,hotdog,tuba
lock,metal detector,cockroach
file,apple,life jacket
drain,corsage,soldering iron
album,touchpad,foot
gas mask,sandpaper,gumball
brake,cardinal,machete
cd player,shrimp,spark plug
knitting,luggage,lion
sled,poinsettia,chariot
scrambled egg,coffee bean,parachute
tattoo,chin,okra
chariot,photograph,cigarette
urn,trumpet,okra
teabag,gem,knee
recliner,poodle,crib
canoe,gas mask,pom-pom
lizard,bat,paper plate
origami,chipmunk,glue
suit,first-aid kit,apron
painting,quad,gift
hula hoop,gondola,shell
car seat,scallion,brake
moccasin,drink,leggings
oilcan,foot,jump rope
chest,plaster cast,notebook
riser,organ,pineapple
wrench,moose,pan
fishing pole,corsage,fire hydrant
sled,pea,hammock
tack,dart,robe
shortbread,camcorder,scallop
handlebar,marshmallow,metronome
wire cutters,crowbar,necklace
pepper,rack,hash
raspberry,hovercraft,parfait
recorder,palette,fern
anvil,station wagon,dolphin
crayon,stingray,board game
canister,pheasant,bottle
badge,cannon,gazelle
boa,gong,footbath
shutter,lamppost,cilantro
dumbbell,battery,mole
butterfly,racehorse,heater
fly,sofa bed,toad
taxi,fire,crank
golf club,screw,mistletoe
memory stick,bowling ball,bottle opener
bow,hoodie,melon
hay,snowsuit,wheat
lingerie,suspenders,corkboard
pheasant,deodorant,toucan
strap,shark,hanger
valve,eyedropper,lettuce
wax paper,wing,timer
peacock,lavender,knob
lemonade,gourd,anchor
snowboard,dreidel,ram
pug,seal,bathtub
easel,okra,notebook
calf,chime,alpaca
gopher,pigeon,snowplow
sandpaper,trapdoor,beaver
pallet,bathrobe,wind chimes
dandelion,screen,snowball
chandelier,bedpost,pretzel
bun,blimp,marmalade
splinter,crown,foot
garter,brooch,panther
headlight,hawk,tank
dogfood,celery,racket
screen,telegraph,okra
padlock,urn,squid
xylophone,stockings,ping-pong table
burner,ferret,cake mix
bologna,ginger,rack
taco,tugboat,cheesecake
torch,pepper mill,necklace
eye,hood,board
cannon,blackberry,glove
tarp,pothole,fire
touchpad,cassette,papaya
airplane,toothpick,tugboat
lollipop,crate,bagel
kneepad,hand,milk
spool,hedgehog,chair
seagull,anteater,truck
lectern,cardinal,fan
glass,cockatoo,tomato sauce
funnel,eagle,nutcracker
fish,blowtorch,mole
bologna,tugboat,chive
magnifying glass,dagger,cilantro
telescope,ankle,flagpole
key,polar bear,bungee
brush,headscarf,target
whoopee cushion,mirror,raccoon
shopping basket,brass knuckles,hatbox
sloth,cow,necklace
pearl,piggy bank,machine gun
kitten,horse,blimp
vent,okra,safety pin
string cheese,hot-air balloon,prune
door,meerkat,mannequin
trailer,artichoke,briefcase
hedgehog,aluminum foil,mushroom
patty,bobsled,wafer
cauliflower,yacht,basil
basil,parsley,candle
paperclip,thumbtack,corsage
grille,polar bear,dashboard
star fruit,quad,smoothie
cheese,bagel,knee
air conditioner,fireplace,eagle
clipboard,air mattress,badger
metronome,okra,screwdriver
napkin ring,goblet,eagle
tarp,chalkboard,catfish
trumpet,gravestone,poodle
handbrake,grape,measuring cup
shower curtain,faucet,axe
beachball,wineglass,football helmet
squash,blimp,spaghetti
pie,meatloaf,racket
foot,mandolin,hula hoop
enchilada,lime,headband
satellite dish,outlet,curry
tractor,swing set,dolphin
badger,roadsweeper,hummingbird
rack,boy,chandelier
tackle,flypaper,vulture
juice,french horn,banana peel
stereo,pancake,switch
hockey stick,crank,quiche
matchbox,cigarette butt,tuba
tambourine,penholder,basil
checkbook,pepper mill,artichoke
memory stick,pigeon,filing cabinet
handcuff,olive,outfit
clarinet,cougar,tambourine
mouth,bra,train
backdrop,bulletin board,artichoke
ginger,chopsticks,shell
rocking chair,jewel,box
shell,crossbow,toy
taxi,roller coaster,soap
drink,onion,cash machine
hard disk,water heater,mint
boot,fire,jersey
rhubarb,uniform,licorice
pinball,rabbit,shoelace
baton,pheasant,hanger
beetle,ladder,anteater
pickax,scissors,coconut
paint,candy bar,bear
lime,mistletoe,saxophone
sandcastle,chessboard,knee
badge,compass,cilantro
amplifier,honeycomb,springboard
berry,dagger,snack
straw,shower curtain,roller
sofa bed,aloe,touchpad
treadmill,ski,poinsettia
football helmet,swan,closet
blinder,corsage,cardinal
pantyhose,fire,bandage
camera lens,blower,bowling ball
necklace,braid,hard disk
basketball,pool table,corsage
diving board,cabbage,toilet paper
seesaw,go-kart,shark
washboard,hook,goat
boy,undershirt,water fountain
easter egg,olive,filter
brooch,piglet,hanger
knitting needle,diaper,peeler
car door,handlebar,cherry
footrest,drink,latch
icicle,boxing gloves,penholder
lampshade,spool,okra
lens,radar,deer
enchilada,limousine,dough
knitting needle,pony,dart
sombrero,altar,tugboat
ice cream,chariot,coffee pot
fern,lamppost,dryer
siren,flashbulb,bowling ball
electric chair,trowel,cilantro
sword,machete,chili
sloth,porthole,leopard
comb,jetski,tag
rock,cream,lava
foot,bracelet,wood
swing,souffle,pine tree
iguana,mustache,ferry
towel,badger,blindfold
coaster,hedgehog,teacup
lens,thermometer,polar bear
sandcastle,first-aid kit,swing
scallion,briefcase,toothpick
beanbag,boar,pincushion
ladder,handle,fig
teapot,breathalyzer,dolphin
mannequin,artichoke,footbath
hourglass,icemaker,knee
drain,pothole,hawk
riser,hyena,organ
ice cream,alpaca,stew
pesto,ukulele,turf
alligator,lipstick,butterfly
printer,aardvark,soda fountain
funnel,corsage,can
blind,cross,raccoon
rhubarb,banana split,bowling ball
boy,snowplow,mannequin
landmine,piglet,gravestone
machine gun,chaps,jalapeno
sea urchin,peacock,record player
cardinal,rooster,shutter
thermos,hawk,mousetrap
noose,bun,padlock
tennis ball,shell,bowling ball
peanut,chisel,soda fountain
notepad,butterfly,purse
diskette,ticktacktoe,okra
palette,brass knuckles,game
chopsticks,meerkat,windowsill
olive,crumb,headband
lemon,pallet,egg roll
nutcracker,timer,meerkat
ukulele,cilantro,joystick
walnut,screwdriver,maple syrup
pug,stained glass,orangutan
rice,pesto,wheelchair
ship,crepe,oar
furnace,oilcan,poodle
button,tack,calf
chalk,trombone,chessboard
ready meal,incubator,airplane
wedding cake,patty,chisel
hummus,cantaloupe,saxophone
electric chair,bowling ball,brace
noodle,tea,screwdriver
fountain pen,broccoli,cufflink
daisy,pedal,potpourri
berry,turntable,cantaloupe
can,playpen,shopping cart
cash register,poodle,coat rack
ravioli,shrimp,roadsweeper
watering can,knee,can
golf club,chain,bonnet
speedometer,poinsettia,wheel
yogurt,handcuff,basil
coleslaw,diamond,oil
peach,kebab,railing
lumber,workbench,pretzel
carriage,stretcher,orange
sleeping bag,teepee,diamond
cannon,donut,radar
shawl,hummingbird,laundry basket
grasshopper,clarinet,giraffe
wheelchair,cracker,cleat
roof rack,unicycle,spider web
flashlight,headset,catfish
tostada,chisel,souffle
water bottle,grate,buoy
birthday cake,soup,turntable
breadstick,racket,drink
lab coat,cardinal,cleat
alpaca,silicone,hippopotamus
elephant,clarinet,log
ski pole,zucchini,spark plug
gallows,blouse,arch
tostada,shell,cream cheese
mast,meerkat,seaplane
jar,aardvark,thimble
crane,dumpster,daisy
pincushion,eye patch,dolphin
ballot box,handprint,chick
satellite,ice pack,first-aid kit
curling iron,pony,thimble
pudding,petri dish,tugboat
mantle,papaya,handle
boxing gloves,jalapeno,moccasin
goalpost,gun,dartboard
window,knee,roof rack
stick,cream,metronome
rake,slingshot,squid
gel,coffee,knee
binder,coffee table,meerkat
hairpin,jeep,boa
seagull,inhaler,bee
hay,computer,rake
candelabra,mongoose,ring
chimney,desk,knee
cream,silicone,porcupine
bathtub,showerhead,plant
train set,basil,electric chair
fudge,pepperoni,snorkel
mitten,underwear,tugboat
cot,corsage,peeler
brooch,bracelet,squirrel
birdbath,chalkboard,crayon
knitting needle,cufflink,cilantro
sea urchin,cookie cutter,manhole
nest,shell,tree
camper,jeep,skunk
ruby,thread,lightbulb
polo shirt,corkboard,pantsuit
kitten,wolf,quad
polygraph,fruit,earring
washboard,eagle,jug
barrel,jug,gumball
stethoscope,seagull,whistle
kitten,camper,seagull
chicken wire,vulture,pothole
stirrup,knee,rosary
wedge,checkbook,meerkat
wallet,car seat,knee
bagpipe,microphone,cilantro
fire alarm,key,raccoon
potholder,diamond,confetti
brass knuckles,casserole,navel
cornhusk,tuba,laundry basket
gum,cigarette butt,humvee
llama,wasp,lumber
rust,knee,airboat
phone,poinsettia,jukebox
mulch,lava,thread
brake,vulture,gyroscope
sawhorse,shoehorn,dolphin
cufflink,ladle,meerkat
iceskate,cleat,koala
drum,trombone,kangaroo
screwdriver,rake,marmalade
birdcage,tennis ball,cymbal
windshield,window,fire
gear,rabbit,food processor
macadamia,omelet,blouse
lasagna,grapefruit,paddle
sarcophagus,wand,bowling ball
hay,barbed wire,gong
taco,tricycle,wheat
dip,toast,knee
macadamia,salad,gurney
fondue,cantaloupe,tuba
hawk,knob,coyote
top hat,medal,papaya
strainer,cleat,cruise ship
bowling ball,face,button
cocktail,guacamole,pickax
visor,envelope,chipmunk
windshield wiper,poppy,fuse
flag,piglet,stick
soccer ball,first-aid kit,bowling ball
trashcan,shark,coffin
map,raspberry,film
lunchbox,badger,credit card
branch,cream,tee
incense,nose,coat rack
drink,duck,meat
tumbleweed,birthday cake,acorn
scallop,bullet,sausage
squid,squash,hatbox
bubble,emerald,scalpel
latch,knee,gargoyle
workbench,reel,raccoon
top hat,fountain pen,basil
rock,trombone,pothole
pedal,eagle,saltshaker
zebra,aardvark,dial
barrel,wine cooler,racket
wedge,dolphin,air mattress
pitchfork,vacuum,gumball
eclair,thread,juicer
bun,apple,jeep
crucifix,cane,papaya
trophy,taillight,shrimp
hummingbird,coat,puffin
police car,aircraft carrier,souffle
bowling ball,train,thumbtack
tile,thumbtack,basil
yolk,pea,noose
horseshoe,cilantro,fire alarm
meatball,space shuttle,tortellini
grapevine,sarcophagus,turntable
pie,uniform,plate
van,diaper,curb
highchair,alpaca,pogo stick
tank,pug,pothole
punch,flask,hedgehog
switch,dolphin,slot machine
anteater,chisel,mushroom
altar,tiara,meerkat
lemonade,pea,jet
swimming pool,mallet,gel
trunk,bowling ball,coffee table
medal,dice,shark
pipe,okra,braid
mullet,hopscotch,artichoke
stamp,fire,box
cushion,paperweight,shell
gallows,fig,trident
gong,casserole,gavel
triangle,soap,bracket
handle,paintbrush,meerkat
school bus,dolphin,torpedo
cream cheese,grapefruit,spider web
nest,pepper,showerhead
raisin,anchor,octopus
clothesline,pogo stick,tuba
rocket,bulldozer,bagel
rat,camper,reindeer
baklava,blouse,spareribs
album,knee,outlet
espresso,pancake,scalpel
polygraph,lantern,knee
bookmark,duct tape,cilantro
lectern,whale,dish
foot,bowling ball,bracelet
cymbal,slingshot,guinea pig
doorhandle,vase,okra
champagne,handcuff,rain gauge
milkshake,pudding,tapestry
chaps,cardinal,wetsuit
clothes,doorstop,cilantro
dumpster,kite,forklift
headset,poinsettia,car seat
laundry basket,toilet,duckling
organ,cockatoo,telegraph
cart,tape measure,cream
springboard,knee,roller coaster
tack,mouse,chinaware
gun,bulletproof vest,first-aid kit
spoon,crow,sweeper
pizza,vulture,cake
cracker,lemon,ratchet
pillbox,french horn,soy sauce
moth,fly,knot
pumpkin,pet food,match
aircraft carrier,milk,pump
desk,shears,projector
quill,bowling ball,memory stick
chipmunk,microscope,bat
loincloth,coat rack,grate
whale,trigger,penguin
tree,pine needle,gun
jumpsuit,lumber,face
saucer,lion,cd player
radish,revolver,fast food
tuning fork,staple,toe
gravy,spider,milk
lantern,padlock,shark
cape,diamond,vest
easter egg,board game,dagger
shortbread,eagle,tea
bun,uniform,waffle
sarcophagus,stick,gumball
orange rind,violin,orange
sandcastle,barbed wire,first-aid kit
hedgehog,dragonfly,cabinet
nail file,scissors,spider web
salad,harp,fondue
bed,guinea pig,revolving door
cornhusk,bowling ball,pincushion
bologna,chili,chisel
mouthpiece,batter,grate
footprint,toe,quad
grasshopper,hamster,brick
thumbtack,pheasant,tack
balloon,taffy,chisel
blackberry,xylophone,onion
bedpost,ladybug,doghouse
torpedo,gyroscope,peach
washcloth,eagle,polaroid
hammock,ramp,gun
nose,tube top,gurney
button,clasp,throne
nest,eraser,ivy
leotard,fire,arm
cleat,corsage,satellite
ski lift,surfboard,breadstick
jeans,knob,bulletproof vest
polisher,rabbit,exhaust pipe
hairbrush,deer,scissors
gear,watch,cockatoo
remote control,phone,moth
chandelier,noose,ladle
olive,buggy,bread
squirt gun,pancake,harness
match,tarantula,lava
clover,truck,frog
racket,sidecar,hula hoop
coffee bean,espresso,revolver
bell pepper,notebook,fondue
honeypot,grate,hook
mousetrap,bolt,knee
hovercraft,cart,first-aid kit
clove,meatball,airplane
racehorse,bathtub,mouse
forklift,crystal,road sign
cup,perfume,spider web
wrap,throne,carrot
pothole,cilantro,cornmeal
life jacket,tuba,turnstile
curry,breakfast,trombone
laptop,memory stick,boar
chopsticks,corsage,incense
accordion,pigeon,battery
paper towel,owl,shoehorn
snake,shopping basket,mouse
domino,piglet,clasp
breadbox,blender,tennis ball
test tube,jackhammer,punch
gravel,slot,ram
diaper,pacifier,ladder
sardine,doily,ham
sunflower,aloe,humvee
lipstick,golf cart,inhaler
sandcastle,knee,mantle
videocassette,crow,awning
towel,ram,sewing machine
gavel,screwdriver,brussels sprouts
inhaler,lightbulb,cilantro
jellyfish,fire,dragonfly
cocktail,boar,chicken
gondola,strainer,hearse
rose,playpen,mint
wagon,polo shirt,chimney
mirror,rabbit,rudder
jewel,ring,boxing gloves
breathalyzer,hawk,inkwell
mitten,fire,robe
marshmallow,dryer,fondue
tattoo,hubcap,lip gloss
weasel,caterpillar,robe
cheesecake,ukulele,mold
finger,sling,fruit
bison,gurney,seagull
gold,grate,column
lime,gravy,noose
plunger,streetlight,fire
quill,notepad,playpen
bathtub,parrot,coffee table
sandbag,sandcastle,spider
yoke,spool,pillbox
jelly bean,drum,kiwi
eyeliner,pineapple,plunger
eggbeater,pan,eagle
wok,coffee,toe
brace,underwear,gumball
brussels sprouts,treasure,zucchini
organ,pulpit,badger
camel,trombone,fishbowl
bagpipe,recorder,pig
comic book,cardinal,map
canvas,dish,whale
accordion,ladle,poppy
odometer,saw,corsage
tomato,flour,gallows
pesto,jet,parsley
bouquet,whip,orange rind
contact lens,clipper,lens
inhaler,lighter,goose
spaghetti,paper,popsicle
eggnog,soda fountain,grille
charger,hook,cilantro
waterwheel,record,gumball
headlight,television,fox
ketchup,eggbeater,radiator
kettle,foot,springboard
rosary,meerkat,metronome
dogfood,oatmeal,playpen
train set,dashboard,vulture
jeep,yogurt,quad
flask,crayon,bongo
scanner,scaffold,doll
blind,boar,dice
bacon,olive,shell
peeler,axe,swan
anklet,lobster,bracelet
pepper mill,knee,pogo stick
landmine,projector,bonnet
tongs,clipper,cockroach
spacesuit,clothes,chili
measuring cup,cardinal,soy sauce
strainer,milkshake,stockings
gyro,scallop,jackhammer
tennis ball,fireplace,skateboard
pepper,volleyball,bok choy
cable,tortilla,hotplate
tackle,cilantro,zipper
barrel,jug,ferret
breadbox,tugboat,meat grinder
rooster,jet,cockatoo
mud,uniform,pepper mill
shoe polish,playpen,stiletto
bathmat,pin,lobster
graffiti,knee,crayon
donkey,spider,cardigan
surfboard,hedgehog,cart
rickshaw,stroller,chime
net,mud,sorbet
donkey,lion,treasure
dip,airplane,sausage
snowboard,meerkat,flip-flop
cigarette butt,soy sauce,grate
gingerbread man,quad,corn
jack,trowel,fire
mitten,tugboat,bag
leash,corsage,snorkel
tinsel,bison,knitting
rag,artichoke,cross
crystal,mandolin,hay
bathmat,marmalade,velcro
mask,compass,cilantro
wheel,frisbee,earwig
washing machine,anvil,artichoke
iceskate,rooster,doorknocker
cummerbund,brooch,honeycomb
chest,pillbox,skirt
pliers,washboard,patty
toad,trampoline,cow
red carpet,slot machine,pancake
gravy,jetski,chicken
glue,kayak,lipstick
espresso,bubble wrap,hotplate
wire,artichoke,mouthpiece
bulletin board,clothes,cilantro
necklace,rabbit,tag
pretzel,knob,mango
thumb,kilt,grate
file,staple gun,caterpillar
slime,sticker,revolver
bullet,scallion,handbrake
ping-pong table,handlebar,lion
curling iron,dumbwaiter,gazelle
gravy,crow,stew
blowgun,plunger,blanket
letter opener,meerkat,kazoo
bathmat,awning,plum
shark,robe,mouse
snack,jet,baklava
pendulum,streetlight,knee
harmonica,bell,whale
barbell,okra,radio
toad,feather,coil
saw,cannon,birthday cake
snowshoe,stool,grate
sewage,corsage,turf
chipmunk,jetski,gazelle
mulch,hay,paper plate
cookie,tricycle,cake mix
grape,hockey stick,lettuce
pheasant,raccoon,cello
clothesline,ram,scaffolding
staple gun,sloth,filing cabinet
gravy,shell,cinnamon
kazoo,bell,cardinal
praying mantis,wire,wolf
sardine,filter,praying mantis
papaya,cigarette holder,wafer
snail,marker,seal
walrus,flamingo,paper plate
speedometer,camper,poodle
turbine,polar bear,speedometer
centerpiece,train set,piglet
owl,record,turtle
chinaware,confetti,badger
lanyard,hedgehog,ottoman
donut,revolver,bok choy
underwear,whoopee cushion,papaya
shark,otter,wallet
umbrella,gearshift,polar bear
bandanna,towel rack,hawk
xylophone,guitar,swan
joystick,basil,keyboard
calzone,sugar cube,crate
backpack,grate,ramp
fly,headset,beehive
hedgehog,turnstile,crow
pepper mill,corsage,string cheese
bracket,catfish,speaker
chihuahua,blinder,turntable
plant,cardigan,nacho
pedometer,centrifuge,boar
yolk,eggplant,skull
eclair,snowplow,strawberry
eggnog,train,lemon
thread,shawl,diamond
